Timestamp,Density,Temperature,Pressure,Humidity
2023-01-01T00:00:00.000Z,26,128,229,323
2023-01-01T00:05:00.000Z,76,122,284,373
2023-01-01T00:10:00.000Z,2,137,236,342
2023-01-01T00:15:00.000Z,89,113,205,370
2023-01-01T00:20:00.000Z,70,142,277,353
2023-01-01T00:25:00.000Z,52,125,236,356
2023-01-01T00:30:00.000Z,41,162,233,328
2023-01-01T00:35:00.000Z,41,168,214,343
2023-01-01T00:40:00.000Z,40,171,231,312
2023-01-01T00:45:00.000Z,87,182,232,393
2023-01-01T00:50:00.000Z,36,154,297,373
2023-01-01T00:55:00.000Z,13,102,292,322
2023-01-01T01:00:00.000Z,7,170,275,314
2023-01-01T01:05:00.000Z,12,182,204,341
2023-01-01T01:10:00.000Z,21,165,259,379
2023-01-01T01:15:00.000Z,68,103,284,380
2023-01-01T01:20:00.000Z,34,152,215,381
2023-01-01T01:25:00.000Z,94,119,262,354
2023-01-01T01:30:00.000Z,29,170,208,335
2023-01-01T01:35:00.000Z,2,104,208,339
2023-01-01T01:40:00.000Z,41,124,218,399
2023-01-01T01:45:00.000Z,47,140,277,310
2023-01-01T01:50:00.000Z,80,111,209,324
2023-01-01T01:55:00.000Z,19,102,242,393
2023-01-01T02:00:00.000Z,10,104,264,362
2023-01-01T02:05:00.000Z,39,147,290,366
2023-01-01T02:10:00.000Z,61,160,233,314
2023-01-01T02:15:00.000Z,80,132,277,327
2023-01-01T02:20:00.000Z,32,145,273,367
2023-01-01T02:25:00.000Z,35,130,235,322
2023-01-01T02:30:00.000Z,36,106,204,346
2023-01-01T02:35:00.000Z,30,144,296,373
2023-01-01T02:40:00.000Z,3,142,293,351
2023-01-01T02:45:00.000Z,43,116,285,399
2023-01-01T02:50:00.000Z,6,152,274,314
2023-01-01T02:55:00.000Z,22,190,284,348
2023-01-01T03:00:00.000Z,71,120,232,392
2023-01-01T03:05:00.000Z,89,129,212,354
2023-01-01T03:10:00.000Z,24,184,223,383
2023-01-01T03:15:00.000Z,55,156,286,392
2023-01-01T03:20:00.000Z,7,121,284,394
2023-01-01T03:25:00.000Z,3,120,250,370
2023-01-01T03:30:00.000Z,14,116,220,340
2023-01-01T03:35:00.000Z,13,136,204,400
